partner_id,country,city,vehicle_type,tenure_months,registration_date,trip_completion_rate,avg_customer_rating,consistency_score,cancellation_rate,total_trips,monthly_earnings_usd,earning_volatility,peak_hours_utilization,weekend_activity_ratio,feature_adoption_score,platform_activity_days_per_month,grabpay_usage_frequency,referral_count,traditional_credit_score,nova_score,risk_category,vehicle_loan_eligible,business_loan_eligible,max_loan_amount_usd,interest_rate_offered,last_30_days_trips,recent_rating_trend,recent_earnings_trend
GRB_000026,Indonesia,Surabaya,Motorcycle,1.3,2025-07-19,0.927,4.74,0.754,0.091,294,690.94,0.259,0.646,0.299,0.364,22.6,8.1,1,,543,Medium,True,True,6909.43,14.1,132,0.06,0.15
GRB_000027,Indonesia,Surabaya,Car,5.4,2025-03-19,0.942,4.58,0.828,0.066,1183,1566.78,0.194,0.069,0.772,0.319,24.8,11.9,0,,613,Medium,True,False,15667.82,16.3,132,-0.03,0.25
GRB_000028,Indonesia,Jakarta,Motorcycle,26.7,2023-06-18,0.922,4.94,0.987,0.12,6946,1190.22,0.149,0.636,0.096,0.661,23.9,10.0,4,,639,Medium,True,True,11902.21,17.2,175,0.02,-0.16
GRB_000030,Indonesia,Bandung,Motorcycle,58.2,2020-11-15,0.962,4.65,1.0,0.106,15134,1138.24,0.229,0.683,0.928,0.765,21.6,5.7,13,488.0,680,Low,True,True,17073.56,10.9,245,0.08,-0.0
GRB_000031,Indonesia,Medan,Motorcycle,22.1,2023-11-03,0.949,4.89,0.917,0.123,5749,1465.17,0.135,0.509,0.216,0.649,25.7,2.9,7,,649,Medium,True,True,14651.71,17.3,188,-0.16,-0.19
GRB_000032,Indonesia,Bandung,Motorcycle,15.7,2024-05-13,0.974,4.9,1.0,0.123,4084,640.07,0.297,0.241,0.242,0.518,27.2,23.9,4,,620,Medium,True,True,6400.65,16.0,226,-0.11,0.1
GRB_000039,Indonesia,Surabaya,Motorcycle,6.2,2025-02-21,0.958,4.75,0.979,0.086,1622,945.38,0.172,0.314,0.779,0.661,28.8,0.3,2,,594,Medium,True,True,9453.84,12.8,201,-0.26,-0.0
GRB_000040,Indonesia,Medan,Motorcycle,15.2,2024-05-29,0.958,4.91,1.0,0.101,3949,1316.87,0.166,0.385,0.294,0.651,25.7,5.0,4,,655,Low,True,True,19753.11,11.8,167,0.08,0.18
GRB_000042,Indonesia,Medan,Motorcycle,3.0,2025-05-30,0.849,4.41,0.509,0.125,539,414.01,0.427,0.489,0.161,0.533,20.1,7.4,0,,485,High,True,False,2070.05,20.2,65,0.07,0.22
GRB_000043,Indonesia,Bandung,Car,17.0,2024-04-03,0.981,4.8,1.0,0.113,4431,1651.64,0.214,0.85,0.406,0.571,26.8,27.9,3,553.0,640,Medium,True,True,16516.45,16.7,205,-0.06,0.38
GRB_000049,Indonesia,Bandung,Car,13.6,2024-07-15,0.967,5.01,1.0,0.085,3544,2067.59,0.11,0.307,0.377,0.71,22.6,8.4,9,,690,Low,True,True,31013.86,8.9,198,0.01,0.17
GRB_000050,Indonesia,Surabaya,Motorcycle,9.3,2024-11-23,1.012,4.9,1.0,0.12,2408,1405.16,0.178,0.52,0.776,0.785,23.7,17.3,4,,681,Low,True,True,21077.43,8.5,201,0.01,-0.08
GRB_000051,Indonesia,Surabaya,Motorcycle,1.8,2025-07-05,0.98,4.98,0.944,0.106,464,983.67,0.284,0.522,0.913,0.331,23.9,8.4,1,,584,Medium,True,False,9836.66,14.7,210,-0.06,0.03
GRB_000052,Indonesia,Jakarta,Motorcycle,10.8,2024-10-06,0.906,4.87,0.808,0.0,2385,518.41,0.374,0.834,0.4,0.402,25.5,4.6,1,,559,Medium,True,False,5184.1,17.1,139,0.13,0.11
GRB_000053,Indonesia,Medan,Motorcycle,9.3,2024-11-20,0.803,4.25,0.645,0.086,1681,659.17,0.445,0.483,0.636,0.335,15.3,0.1,4,,492,High,False,False,3295.87,23.3,79,-0.11,0.02
GRB_000054,Indonesia,Surabaya,Motorcycle,1.0,2025-07-29,0.897,4.08,0.461,0.122,179,399.66,0.363,0.935,0.452,0.29,21.4,7.1,1,,487,High,True,False,1998.32,20.7,63,-0.1,0.19
GRB_000057,Indonesia,Medan,Motorcycle,36.4,2022-09-02,0.815,3.84,0.579,0.141,6544,843.61,0.395,0.515,0.312,0.681,14.9,9.4,5,,545,Medium,True,True,8436.12,12.2,47,-0.09,-0.09
GRB_000058,Indonesia,Medan,Car,11.5,2024-09-15,0.827,4.15,0.633,0.079,2077,625.23,0.318,0.575,0.765,0.358,16.4,19.6,4,,495,High,True,False,3126.13,21.5,69,-0.09,0.05
GRB_000063,Indonesia,Jakarta,Motorcycle,8.9,2024-12-04,0.982,4.98,1.0,0.08,2306,1141.97,0.066,0.608,0.088,0.487,23.9,2.5,3,714.0,635,Medium,True,False,11419.67,16.6,206,0.05,-0.02
GRB_000065,Indonesia,Medan,Both,5.2,2025-03-25,0.923,4.71,1.0,0.137,1352,1795.29,0.057,0.162,0.743,0.635,23.9,0.6,3,,664,Low,True,True,26929.29,9.4,201,-0.02,-0.13
GRB_000067,Indonesia,Bandung,Motorcycle,3.7,2025-05-08,0.817,4.21,0.522,0.107,669,493.01,0.314,0.369,0.734,0.257,21.6,5.4,2,470.0,493,High,False,False,2465.04,23.6,61,0.11,-0.15
GRB_000070,Indonesia,Bandung,Motorcycle,14.1,2024-06-30,0.89,4.12,0.715,0.096,2543,542.89,0.333,0.732,0.223,0.418,14.0,18.9,4,,536,Medium,True,True,5428.91,15.6,64,-0.07,0.29
GRB_000076,Indonesia,Bandung,Car,12.2,2024-08-26,0.916,4.78,1.0,0.15,3173,1477.26,0.083,0.991,0.331,0.573,28.0,22.5,6,,660,Low,True,True,22158.93,11.9,178,-0.14,0.02
GRB_000077,Indonesia,Surabaya,Car,6.2,2025-02-24,0.932,4.38,0.952,0.108,1353,1105.41,0.226,0.604,0.136,0.471,23.4,5.5,1,653.0,606,Medium,True,True,11054.08,17.3,113,-0.14,0.17
GRB_000079,Indonesia,Medan,Motorcycle,43.5,2022-01-31,0.815,4.14,0.86,0.039,7830,770.28,0.402,0.456,0.661,0.479,12.7,14.1,13,,534,Medium,True,True,7702.83,15.8,66,0.22,0.1
GRB_000082,Indonesia,Bandung,Both,2.6,2025-06-12,0.811,4.23,0.776,0.077,460,734.76,0.365,0.172,0.971,0.418,18.3,1.4,0,,516,Medium,True,False,7347.64,14.4,67,0.04,0.11
GRB_000085,Indonesia,Bandung,Motorcycle,7.2,2025-01-25,0.922,4.44,0.942,0.071,1576,472.89,0.235,0.218,0.257,0.473,19.3,1.1,3,,548,Medium,True,False,4728.89,14.4,128,0.01,0.04
GRB_000090,Indonesia,Bandung,Both,14.1,2024-07-02,0.917,4.84,0.889,0.058,3656,2500.95,0.106,0.474,0.71,0.482,19.2,21.1,4,,646,Medium,True,True,25009.5,12.5,222,-0.03,0.02
GRB_000093,Indonesia,Bandung,Car,5.7,2025-03-09,0.9,4.37,0.817,0.115,1259,1002.37,0.314,0.881,0.125,0.339,21.3,2.0,0,,556,Medium,True,True,10023.7,16.8,134,-0.01,-0.07
GRB_000095,Indonesia,Medan,Motorcycle,9.6,2024-11-13,0.979,4.67,0.911,0.13,2489,1156.9,0.148,0.72,0.501,0.522,19.9,5.4,1,,608,Medium,True,True,11568.95,15.8,193,-0.11,-0.04
GRB_000097,Indonesia,Bandung,Car,3.5,2025-05-13,0.918,4.49,0.883,0.07,779,694.79,0.244,0.23,0.321,0.223,22.8,15.0,2,654.0,564,Medium,True,True,6947.87,12.7,123,-0.18,0.03
GRB_000098,Indonesia,Jakarta,Motorcycle,4.7,2025-04-07,0.923,4.61,0.67,0.159,1042,654.32,0.208,0.496,0.347,0.324,24.5,13.5,2,584.0,576,Medium,True,True,6543.18,15.8,132,0.02,-0.15
GRB_000100,Indonesia,Medan,Motorcycle,6.5,2025-02-13,0.897,4.45,0.793,0.034,1434,575.67,0.259,0.324,0.21,0.564,23.0,12.3,2,,592,Medium,True,False,5756.74,16.7,137,-0.04,-0.19
GRB_000101,Indonesia,Bandung,Motorcycle,6.4,2025-02-16,0.971,4.55,0.958,0.109,1668,890.35,0.148,0.402,0.979,0.599,24.8,0.1,2,,599,Medium,True,True,8903.45,12.1,195,-0.08,-0.09
GRB_000102,Indonesia,Bandung,Motorcycle,29.7,2023-03-20,0.977,4.59,0.766,0.064,6539,923.75,0.227,0.534,0.283,0.576,21.7,13.2,5,,619,Medium,True,True,9237.47,13.5,141,-0.26,-0.21
GRB_000103,Indonesia,Surabaya,Motorcycle,6.2,2025-02-22,0.953,4.41,1.0,0.04,1369,808.31,0.271,0.459,0.854,0.561,18.7,1.0,3,574.0,597,Medium,True,True,8083.11,16.4,138,0.08,0.08
GRB_000104,Indonesia,Jakarta,Motorcycle,6.1,2025-02-25,0.885,4.74,0.997,0.076,1350,506.7,0.355,0.125,0.468,0.6,24.0,3.5,1,,550,Medium,True,True,5067.04,16.7,126,-0.16,0.01
GRB_000108,Indonesia,Bandung,Motorcycle,7.2,2025-01-24,0.886,3.93,0.745,0.104,1294,466.74,0.417,0.212,0.651,0.451,20.6,4.4,3,590.0,504,Medium,True,True,4667.45,12.3,76,0.03,-0.15
GRB_000111,Indonesia,Medan,Motorcycle,2.8,2025-06-05,0.925,4.56,0.773,0.105,616,734.27,0.311,0.436,0.066,0.432,25.8,8.5,0,495.0,568,Medium,True,False,7342.74,17.5,117,-0.03,0.0
GRB_000113,Indonesia,Jakarta,Car,14.2,2024-06-27,0.866,4.27,0.585,0.093,2557,1060.21,0.396,0.773,0.005,0.473,23.8,0.6,2,666.0,596,Medium,True,False,10602.06,16.3,68,0.02,-0.23
GRB_000115,Indonesia,Medan,Motorcycle,14.2,2024-06-27,0.962,4.64,0.935,0.095,3130,685.01,0.243,0.903,0.57,0.662,19.2,24.1,4,,584,Medium,True,True,6850.11,13.1,122,-0.26,0.11
GRB_000117,Indonesia,Surabaya,Motorcycle,18.7,2024-02-14,0.938,4.92,1.0,0.052,4860,1147.65,0.177,0.241,0.209,0.539,27.7,10.8,5,,649,Medium,True,True,11476.53,12.7,221,-0.07,0.15
GRB_000119,Indonesia,Surabaya,Car,19.9,2024-01-08,0.98,4.97,1.0,0.06,5180,1517.6,0.185,0.823,0.732,0.908,26.4,3.1,5,505.0,669,Low,True,True,22763.97,8.8,196,-0.03,-0.01
GRB_000121,Indonesia,Surabaya,Car,13.6,2024-07-16,0.99,4.86,0.96,0.037,3534,1372.22,0.122,0.402,0.852,0.49,20.9,5.3,3,,659,Low,True,True,20583.27,11.4,218,0.11,-0.09
GRB_000122,Indonesia,Bandung,Car,11.1,2024-09-29,0.841,4.55,0.857,0.083,2440,603.52,0.263,0.347,0.372,0.522,26.0,1.0,3,589.0,548,Medium,True,True,6035.15,17.8,118,0.05,-0.02
GRB_000123,Indonesia,Medan,Motorcycle,26.8,2023-06-15,0.861,4.48,0.893,0.054,5901,761.12,0.186,0.449,0.719,0.598,27.6,9.3,9,,623,Medium,True,False,7611.22,12.5,135,-0.02,-0.26
GRB_000124,Indonesia,Jakarta,Motorcycle,2.1,2025-06-26,0.964,4.63,0.75,0.083,545,773.59,0.137,0.444,0.459,0.498,27.3,20.9,0,,581,Medium,True,True,7735.86,13.5,202,0.12,0.04
GRB_000126,Indonesia,Medan,Motorcycle,7.5,2025-01-15,0.913,4.53,0.842,0.141,1645,700.36,0.361,0.451,0.761,0.485,20.7,5.9,1,,571,Medium,True,False,7003.59,14.3,133,-0.02,0.08
GRB_000127,Indonesia,Medan,Motorcycle,7.5,2025-01-14,0.832,3.93,0.705,0.077,1353,373.26,0.355,0.596,0.898,0.503,18.1,17.9,3,504.0,523,Medium,True,True,3732.58,13.9,69,-0.18,0.07
GRB_000129,Indonesia,Medan,Motorcycle,11.6,2024-09-15,0.893,4.5,0.95,0.095,2542,652.66,0.181,0.756,0.615,0.584,18.1,22.5,3,,591,Medium,True,False,6526.65,12.8,130,0.08,0.05
GRB_000131,Indonesia,Bandung,Motorcycle,8.4,2024-12-17,1.005,4.89,1.0,0.06,2195,884.13,0.207,0.402,0.152,0.586,29.8,1.3,2,,623,Medium,True,True,8841.29,15.6,214,0.04,0.19
GRB_000133,Indonesia,Bandung,Motorcycle,2.7,2025-06-08,0.961,4.45,0.662,0.102,588,802.35,0.187,0.371,0.799,0.615,23.2,26.2,0,469.0,582,Medium,True,True,8023.45,14.7,129,0.08,-0.26
GRB_000134,Indonesia,Jakarta,Motorcycle,1.3,2025-07-21,0.869,3.9,0.719,0.077,226,391.97,0.35,0.431,0.656,0.411,16.0,1.0,0,508.0,463,High,True,False,1959.86,24.3,67,0.13,-0.1
GRB_000135,Indonesia,Jakarta,Both,15.6,2024-05-17,0.934,4.79,1.0,0.073,4054,2776.23,0.157,0.761,0.546,0.727,26.0,6.9,6,,696,Low,True,True,41643.41,8.7,178,-0.03,0.07
GRB_000136,Indonesia,Bandung,Both,13.6,2024-07-15,0.936,4.97,1.0,0.093,3537,2416.77,0.101,0.587,0.717,0.789,21.7,11.2,1,751.0,677,Low,True,True,36251.6,11.5,169,0.01,0.29
GRB_000137,Indonesia,Jakarta,Motorcycle,17.7,2024-03-14,0.924,4.33,0.897,0.015,3899,775.39,0.238,0.294,0.294,0.581,22.1,8.1,5,627.0,577,Medium,True,True,7753.94,12.6,166,-0.13,0.11
GRB_000140,Indonesia,Medan,Motorcycle,35.4,2022-10-02,0.846,4.18,0.657,0.075,6365,633.88,0.394,0.563,0.666,0.477,18.9,7.7,9,,572,Medium,True,False,6338.81,14.3,69,0.11,-0.08
GRB_000141,Indonesia,Jakarta,Motorcycle,7.6,2025-01-12,0.955,4.51,0.971,0.051,1671,648.37,0.206,0.058,0.279,0.399,16.3,10.4,3,,557,Medium,True,True,6483.74,15.3,122,-0.09,0.05
GRB_000142,Indonesia,Surabaya,Motorcycle,8.2,2024-12-25,0.974,4.56,0.935,0.067,2132,1020.89,0.1,0.457,0.399,0.467,29.5,1.1,3,,568,Medium,True,True,10208.92,16.4,192,0.14,0.15
GRB_000143,Indonesia,Bandung,Motorcycle,8.8,2024-12-06,0.892,4.12,0.561,0.174,1590,470.91,0.406,0.488,0.6,0.421,16.1,5.5,1,,506,Medium,True,True,4709.07,12.2,70,0.0,0.19
GRB_000146,Indonesia,Medan,Both,10.0,2024-10-31,0.887,4.09,0.84,0.144,1800,1139.68,0.459,0.105,0.664,0.371,22.2,7.9,0,,530,Medium,True,True,11396.85,12.6,72,-0.11,0.06
GRB_000150,Indonesia,Medan,Motorcycle,5.5,2025-03-15,0.968,4.9,0.8,0.088,1439,951.81,0.152,0.125,0.622,0.641,27.0,8.1,2,,633,Medium,True,True,9518.12,12.8,222,-0.07,-0.21
GRB_000151,Indonesia,Surabaya,Motorcycle,16.5,2024-04-19,0.861,3.94,0.671,0.069,2972,393.79,0.411,0.476,0.258,0.551,21.8,5.0,6,598.0,554,Medium,True,False,3937.93,15.8,67,0.02,0.01
GRB_000153,Indonesia,Jakarta,Motorcycle,3.6,2025-05-13,0.933,4.24,0.809,0.118,781,451.69,0.333,0.033,0.607,0.323,23.7,29.3,1,571.0,510,Medium,True,True,4516.89,16.5,124,0.01,0.08
GRB_000156,Indonesia,Medan,Motorcycle,6.0,2025-02-28,0.872,4.17,0.499,0.165,1081,505.76,0.426,0.325,0.578,0.302,21.3,7.0,2,,480,High,True,False,2528.81,20.5,62,-0.05,0.3
GRB_000158,Indonesia,Bandung,Motorcycle,6.6,2025-02-10,0.876,4.62,0.826,0.006,1455,849.2,0.271,0.073,0.893,0.524,16.9,20.2,1,,585,Medium,True,True,8491.98,13.6,136,0.06,-0.33
GRB_000161,Indonesia,Bandung,Car,5.9,2025-03-02,0.905,4.69,0.686,0.141,1306,1396.77,0.308,0.69,0.552,0.347,22.2,3.0,2,625.0,578,Medium,True,False,13967.72,17.3,127,-0.06,-0.02
GRB_000162,Indonesia,Jakarta,Motorcycle,10.1,2024-10-29,0.965,5.07,0.983,0.079,2624,912.22,0.205,0.121,0.923,0.763,27.4,11.4,4,594.0,641,Medium,True,True,9122.18,17.7,186,-0.07,-0.07
GRB_000163,Indonesia,Jakarta,Motorcycle,18.0,2024-03-04,0.89,3.98,0.645,0.0,3247,671.8,0.428,0.246,0.264,0.493,14.5,1.0,5,,553,Medium,True,True,6717.95,14.1,77,-0.07,-0.03
GRB_000165,Indonesia,Bandung,Motorcycle,6.1,2025-02-25,0.909,4.74,1.0,0.071,1343,468.57,0.297,0.403,0.539,0.463,23.5,15.0,1,,577,Medium,True,False,4685.66,12.3,134,0.07,0.26
GRB_000168,Indonesia,Jakarta,Motorcycle,6.6,2025-02-10,0.863,4.12,0.819,0.0,1191,489.51,0.456,0.346,0.322,0.155,20.5,17.2,2,,503,Medium,True,True,4895.09,12.9,62,-0.13,0.24
GRB_000169,Indonesia,Medan,Car,2.0,2025-06-30,0.959,4.74,0.798,0.0,509,1498.77,0.157,0.606,0.13,0.508,25.6,6.4,0,,612,Medium,True,False,14987.71,13.8,184,0.02,0.21
GRB_000170,Indonesia,Medan,Motorcycle,2.7,2025-06-06,0.946,4.36,0.529,0.06,603,608.39,0.192,0.84,0.637,0.343,24.6,0.8,1,,524,Medium,True,True,6083.91,17.2,109,0.13,0.01
GRB_000171,Indonesia,Jakarta,Motorcycle,1.7,2025-07-09,0.853,4.06,0.606,0.204,297,411.49,0.426,0.017,0.25,0.246,18.9,5.3,0,522.0,506,Medium,True,False,4114.86,14.9,67,-0.08,0.03
GRB_000172,Indonesia,Medan,Car,14.9,2024-06-06,0.984,5.03,0.96,0.135,3881,2771.54,0.189,0.498,0.915,0.659,22.6,14.3,4,850.0,674,Low,True,True,41573.12,10.0,205,0.05,-0.16
GRB_000173,Indonesia,Jakarta,Car,5.0,2025-03-29,0.912,4.3,0.783,0.074,1110,1240.82,0.213,0.849,0.239,0.341,23.0,4.0,1,,558,Medium,True,True,12408.16,15.9,125,0.07,-0.03
GRB_000174,Indonesia,Medan,Car,20.8,2023-12-13,0.975,4.69,0.925,0.148,5405,2442.13,0.139,0.355,0.562,0.641,24.8,24.3,7,761.0,692,Low,True,True,36632.02,11.3,220,-0.06,-0.1
GRB_000175,Indonesia,Medan,Motorcycle,12.1,2024-08-30,0.943,4.84,0.79,0.147,3145,1135.39,0.211,0.373,0.946,0.423,29.7,4.2,2,792.0,607,Medium,True,True,11353.94,13.3,212,0.05,0.13
GRB_000177,Indonesia,Surabaya,Motorcycle,11.1,2024-09-28,0.946,4.55,0.976,0.031,2444,801.96,0.191,0.392,0.493,0.363,20.1,17.2,5,,560,Medium,True,True,8019.63,13.9,105,-0.06,0.02
GRB_000178,Indonesia,Jakarta,Car,3.3,2025-05-20,0.952,5.1,0.916,0.087,865,1918.47,0.175,0.689,0.124,0.574,25.7,11.2,0,685.0,651,Low,True,True,28777.11,10.9,200,-0.19,0.03
GRB_000179,Indonesia,Medan,Motorcycle,10.4,2024-10-20,0.992,4.94,1.0,0.035,2700,792.62,0.133,0.647,0.466,0.623,28.0,13.9,2,590.0,653,Low,True,True,11889.35,9.4,188,0.03,-0.01
GRB_000185,Indonesia,Jakarta,Motorcycle,18.0,2024-03-06,0.978,4.86,1.0,0.054,4679,1607.31,0.168,0.702,0.34,0.592,26.8,12.4,8,,661,Low,True,True,24109.6,8.5,208,0.14,-0.05
GRB_000187,Indonesia,Medan,Motorcycle,14.7,2024-06-13,0.967,4.84,1.0,0.062,3816,1116.84,0.148,0.816,0.58,0.505,25.7,24.4,6,689.0,643,Medium,True,True,11168.36,14.0,192,-0.15,-0.04
GRB_000189,Indonesia,Jakarta,Motorcycle,16.6,2024-04-17,0.955,4.67,1.0,0.064,4312,1190.52,0.197,0.227,0.206,0.457,23.5,23.9,7,750.0,597,Medium,True,True,11905.18,15.3,177,-0.01,0.01
GRB_000191,Indonesia,Medan,Both,12.5,2024-08-18,0.897,4.34,0.904,0.032,2748,1742.24,0.152,0.274,0.425,0.411,21.0,0.3,4,,626,Medium,True,True,17422.43,12.3,121,-0.11,-0.1
GRB_000192,Indonesia,Bandung,Car,3.2,2025-05-24,0.963,4.53,0.712,0.148,704,1182.34,0.115,0.918,0.604,0.455,21.0,2.3,1,,586,Medium,True,False,11823.44,17.2,146,0.05,0.13
GRB_000193,Indonesia,Medan,Car,4.0,2025-04-29,0.865,4.3,0.622,0.106,723,730.09,0.347,0.716,0.621,0.506,19.1,9.5,1,,546,Medium,True,True,7300.91,17.4,56,0.05,-0.01
GRB_000195,Indonesia,Bandung,Motorcycle,5.4,2025-03-19,0.936,4.44,0.92,0.114,1185,604.83,0.229,0.624,0.752,0.535,22.8,28.7,2,,569,Medium,True,True,6048.28,12.0,106,-0.27,-0.01
GRB_000196,Indonesia,Medan,Motorcycle,10.3,2024-10-24,0.966,4.67,1.0,0.102,2669,822.85,0.205,0.647,0.617,0.589,26.8,6.9,2,554.0,613,Medium,True,True,8228.52,17.7,187,-0.13,-0.03
GRB_000198,Indonesia,Medan,Motorcycle,2.9,2025-06-02,0.919,4.45,0.847,0.123,633,727.24,0.262,0.686,0.405,0.423,21.0,23.6,1,415.0,556,Medium,True,True,7272.37,17.3,138,-0.16,0.25
GRB_000199,Indonesia,Bandung,Motorcycle,4.6,2025-04-12,0.9,4.65,0.794,0.047,1011,522.77,0.219,0.606,0.816,0.423,23.8,16.8,3,,545,Medium,True,False,5227.7,13.6,119,0.17,0.16
GRB_000200,Indonesia,Bandung,Car,1.0,2025-07-29,0.862,4.1,0.613,0.0,179,590.96,0.345,0.525,0.833,0.389,20.6,7.6,0,,510,Medium,True,False,5909.59,18.0,71,-0.04,-0.01
GRB_000201,Indonesia,Bandung,Both,6.9,2025-02-02,0.811,3.89,0.797,0.0,1238,1008.94,0.549,0.301,0.18,0.392,17.4,21.2,3,,537,Medium,True,False,10089.43,17.8,58,0.01,-0.23
GRB_000204,Indonesia,Surabaya,Motorcycle,18.6,2024-02-16,0.972,5.11,1.0,0.049,4837,1079.43,0.196,0.439,0.627,0.549,29.3,20.7,6,,642,Medium,True,True,10794.33,14.6,202,-0.11,-0.14
GRB_000207,Indonesia,Medan,Motorcycle,3.2,2025-05-23,0.897,4.53,0.766,0.101,711,645.52,0.254,0.523,0.708,0.481,26.3,4.6,2,672.0,577,Medium,True,True,6455.19,17.9,136,0.26,-0.01
GRB_000208,Indonesia,Surabaya,Motorcycle,12.1,2024-08-30,0.939,5.04,0.987,0.052,3143,916.88,0.19,0.505,0.117,0.638,24.5,1.4,4,454.0,631,Medium,True,True,9168.79,13.0,202,0.13,-0.23
GRB_000209,Indonesia,Jakarta,Motorcycle,27.6,2023-05-23,0.885,4.04,0.879,0.136,4966,597.24,0.401,0.891,0.34,0.391,22.4,20.0,5,587.0,579,Medium,True,True,5972.42,13.2,60,-0.1,0.02
GRB_000210,Indonesia,Bandung,Motorcycle,7.9,2025-01-04,0.971,4.98,0.929,0.127,2045,786.01,0.109,0.694,0.164,0.515,26.1,23.2,3,,632,Medium,True,False,7860.09,15.8,229,0.05,0.1
GRB_000214,Indonesia,Medan,Car,7.1,2025-01-28,0.942,4.79,0.812,0.106,1553,1088.51,0.373,0.447,0.704,0.645,22.0,4.5,1,675.0,587,Medium,True,False,10885.06,12.4,154,-0.08,0.21
